CPU Name,CPU Amount,CPU Warranty,RAM Name,RAM Amount,RAM Warranty,Main Name,Main Amount,Main Warranty,Storage Name,Storage Amount,Storage Warranty,GPU Name,GPU Amount,GPU Warranty,Case Name,Case Amount,Case Warranty,Cooler Name,Cooler Amount,Cooler Warranty,Price,Link,CPU Spec
CPU Intel Core i5-13500,1.0,36.0,Ram Desktop Adata XPG Spectrix D60G RGB (AX4U36008G18I-DT60) 16GB (2x8GB) DDR4 3600Mhz,1,60.0,Mainboard ASUS TUF GAMING B760M-PLUS WIFI D4,1,36.0,,0,0.0,Card màn hình Asus DUAL RTX 4070-O12G,1,36.0,Vỏ Case Corsair 4000D Airflow TG White (Mid Tower/Màu Trắng),1,24.0,Trọn bộ tản nhiệt nước Custom Bykski x Corsair 4000D DIY KIT - Black,1,12.0,41199000,https://hacom.vn/hacom-poseidon-i5-13600kf-rtx-4070, i5-13500
CPU: Intel Core i7-12700,1.0,36.0,Ram: 8GB,1,36.0,,0,0.0,Ổ cứng: 500GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,13899000,https://hacom.vn/pc-hacom-business-mini-hb01-i7-12700-b660-8gb-ram-500gb-ssd-wifi, i7-12700
"Bộ VXL Intel CORE I3-10105 (3.7GHZ TURBO UP TO 4.4GHZ, 4 NHÂN 8 LUỒNG, 6MB CACHE)",1.0,36.0,Bộ nhớ Ram 8Gb DDR4 (1 x 8Gb + 1 khe rời),1,36.0,,0,0.0,Ổ cứng 256Gb SSD,1,36.0,Card đồ họa tích hợp Intel UHD Graphics 630,1,36.0,,0,0.0,,0,0.0,6499000,https://hacom.vn/pc-hacom-business-mini-p48-v2-i3-10105-h510-8gb-ram-256gb,"Bộ VXL Intel CORE I3-10105 (3.7GHZ TURBO UP TO 4.4GHZ, 4 NHÂN 8 LUỒNG, 6MB CACHE)"
CPU Intel Core i5-14400F,1.0,36.0,Mainboard Gigabyte B760M D2H DDR4,1,36.0,Mainboard Gigabyte B760M D2H DDR4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory),1,36.0,Vỏ Case VITRA CERES V309 BLACK 3FAN RGB (ATX/Màu Đen),1,12.0,Vỏ Case VITRA CERES V309 BLACK 3FAN RGB (ATX/Màu Đen),1,12.0,15799000,https://hacom.vn/pc-hacom-cad-c121-i5-14400f-b760-16gb-ram-500gb-ssd-t400-4gb-550w, i5-14400F
Bộ VXL : Intel Core i3 12100,1.0,36.0,Bộ nhớ Ram : 8GB DRR4,1,36.0,Bo mạch chủ : H610,1,36.0,Ổ cứng : 500GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,7499000,https://hacom.vn/pc-hacom-business-mini-p43-v2-i3-12100-h610-8gb-ram-500gb, i3 12100
Bộ VXL Apple M1 chip8-core CPU / 7-core GPU,1.0,12.0,,0,0.0,,0,0.0,Ổ cứng 256GB SSD,1,12.0,Bộ VXL Apple M1 chip8-core CPU / 7-core GPU,1,12.0,,0,0.0,,0,0.0,32499000,https://hacom.vn/pc-apple-imac-m1-8-core-cpu-7-core-gpu-mgtf3sa-a,Bộ VXL Apple M1 chip8-core CPU / 7-core GPU
CPU: Intel i3-12100,1.0,12.0,Ram: 8GB,1,12.0,,0,0.0,Ổ cứng: 256GB SSD,1,12.0,,0,0.0,,0,0.0,,0,0.0,8499000,https://hacom.vn/pc-lenovo-thinkcentre-m70t-gen-3-i3-12100-8gb-ram-256gb-ssd-wl-bt-k-m-no-os-11ta000xva,CPU: Intel i3-12100
"CPU INTEL XEON E5-2680 V4 (TRAY, CŨ ĐẸP)",2.0,12.0,RAM SAMSUNG 16GB DDR4-2400 ECC REGISTERED (CŨ ĐẸP),2,12.0,Mainboard Huananzhi X99-F8D,1,6.0,"Ổ cứng SSD Teamgroup CX2 256GB SATA3 2.5 inch (Đọc 520MB/s, Ghi 430MB/s) - (T253X6256G0C101)",1,36.0,Card màn hình Asus DUAL GTX 1650-O4GD6-P-EVO,1,36.0,Vỏ Case KENOO ESPORT FM800,1,,Tản nhiệt khí ID-Cooling CPU SE-234 ARGB V2,2,24.0,15179000,https://hacom.vn/pc-hacom-render-r010-28c-32gb-gtx1650,"CPU INTEL XEON E5-2680 V4 (TRAY, CŨ ĐẸP)"
Dòng CPU Core i3-N300,1.0,12.0,Chipset Integrated in the processor ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Khe cắm RAM 2 ['Ổ CỨNG'],1,12.0,Card đồ họa VGA onboard,1,12.0,,0,0.0,,0,0.0,11599000,https://hacom.vn/pc-hp-aio-proone-240-g10-9h0a7pt-i3-n300-8gb-ram-256gb-ssd-23.8-inch-fhd-wl-bt-k-m-win11-den, i3-N300
CPU: Intel Pentium Gold G7400,1.0,36.0,Main: H610 2 khe ram,1,36.0,,0,0.0,Ổ cứng: 256GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,6399000,https://hacom.vn/pc-hacom-business-mini-h9-g7400-h610-8gb-ram-256gb-ssd,CPU: Intel Pentium Gold G7400
Dòng CPU Core i7,1.0,12.0,Chipset Intel H670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng nhỏ,1,12.0,,0,0.0,17999000,https://hacom.vn/pc-hp-280-pro-g9-sff-9h1s9pt-i7-13700-8gb-ram-512gb-ssd-wl-bt-k-m-win-11, i7
"CPU Intel Core i5-12400F (Tray, không Fan)",1.0,36.0,Ram Desktop Kingston Fury Beast (KF432C16BB/8) 8GB (1x8GB) DDR4 3200Mhz,1,36.0,Mainboard ASUS PRIME B760M-K D4,1,36.0,Ổ cứng SSD Kingston SNV2S 250GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3000MB/s - Ghi 1300MB/s) - (SNV2S/250G),1,36.0,Card màn hình MSI GTX 1650 D6 VENTUS XS OCV3,1,36.0,Vỏ Case VITRA CERES V308 ARGB 1FRGB Black  (Mid Tower/Màu Đen/Led ARGB/ Kèm sẵn 1 Fan RGB),1,12.0,"CPU Intel Core i5-12400F (Tray, không Fan)",1,36.0,12899000,https://hacom.vn/hacom-sniper-s22-i5-12400f-gtx-1650," i5-12400F (Tray, không Fan)"
"Bộ vi xử lý
 
Apple M1 Max chip with 10-core CPU and 24-core GPU, 16-core Neural Engine",1.0,12.0,,0,0.0,,0,0.0,"Ổ cứng
 
512GB SSD",1,12.0,"Bộ vi xử lý
 
Apple M1 Max chip with 10-core CPU and 24-core GPU, 16-core Neural Engine",1,12.0,,0,0.0,,0,0.0,53999000,https://hacom.vn/pc-apple-mac-studio-m1-max-bac-mjmv3sa-a-2022,"Bộ vi xử lý
 
Apple M1 Max chip with 10-core CPU and 24-core GPU, 16-core Neural Engine"
"Chíp xử lý 
Intel Core i3-12100 up to 4.30GHz",1.0,12.0,"Bộ nhớ Ram 
8GB DDR4 3200Mhz (1 x 8GB), 2 khe cắm Ram",1,12.0,,0,0.0,"Ổ đĩa cứng 
256GB SSD PCIe NVMe (x1 HDD 3.5"" sata)",1,12.0,"Card đồ họa 
Intel UHD Graphics 730",1,12.0,,0,0.0,,0,0.0,9999000,https://hacom.vn/pc-hp-280-pro-g9-sff-i3-12100-8gb-ram-256gssd-wl-bt-k-m-win-11-72k90pa, i3-12100 up to 4.30GHz
CPU Intel Core i5-12400F,1.0,36.0,Ram Adata XPG Spectrix D41 RGB 16GB (2x8GB) DDR4 3600Mhz,1,60.0,Mainboard Asus TUF GAMING B660M-PLUS D4,1,36.0,SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s),1,36.0,Card màn hình Asus DUAL-RTX 3060 Ti-O8G-V2,1,36.0,Case  Gaming Hawk F1 BLACK,1,0.0,Tản Nhiệt CPU ID-COOLING SE-224-XT ARGB V3,1,24.0,23099000,https://hacom.vn/hacom-sniper-i5-12400f-rtx-3060-ti, i5-12400F
CPU Intel Core i5-13400F (Tray),1.0,36.0,Ram Desktop Kingston Fury Beast (KF432C16BBK2/16) 16GB (2x8GB) DDR4 3200Mhz,1,36.0,Mainboard ASUS TUF GAMING B760M-PLUS D4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Asus DUAL RTX 4060-O8G,1,36.0,Vỏ Case MIK MORAX 3FA BLACK  (Mini Tower/ Màu Đen/ 3 fan),1,25.0,Vỏ Case MIK MORAX 3FA BLACK  (Mini Tower/ Màu Đen/ 3 fan),1,25.0,22499000,https://hacom.vn/hacom-sniper-s25-i5-13400f-rtx-4060, i5-13400F (Tray)
,0.0,0.0,Bộ nhớ GDDR6 20GB với ECC,1,36.0,,0,0.0,,0,0.0,Kiến trúc GPU Ada Lovelace,1,36.0,,0,0.0,,0,0.0,41749000,https://hacom.vn/card-man-hinh-nvidia-rtx-4000-sff-ada-generation-20gb-gddr6-leadtek,
CPU: Intel Core i5-12400,1.0,24.0,RAM: 8GB,1,24.0,,0,0.0,Ổ Cứng: 256GB SSD,1,24.0,,0,0.0,,0,0.0,,0,0.0,13999000,https://hacom.vn/pc-asus-s501md-512400059w-i5-12400-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-90pf0381-m00cy0, i5-12400
CPU: Intel Core i5-10505,1.0,36.0,Ram: 1x 8GB,1,36.0,,0,0.0,Ổ cứng: 256GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,13999000,https://hacom.vn/pc-dell-optiplex-3090-mt-i5-10505-8gb-ram-256gb-ssd-dvdrw-k-m-fedora-42ot390007, i5-10505
"Bộ vi xử lý
 
Intel® Core™ i5-1340P Processor 1.9GHz(12M Cache, up to 4.6 GHz, 12 cores)",1.0,36.0,"Bộ nhớ trong
 
8GB DDR4 SO-DIMM",1,36.0,,0,0.0,"Chuẩn ổ cứng
 
512GB M.2 NVMe™ PCIe® 4.0 SSD
Without HDD, 2x M.2  2280 SSD slot
2x DDR4 SO-DIMM slot",1,36.0,"iGPU
 
Intel® UHD Graphics",1,36.0,,0,0.0,,0,0.0,19999000,https://hacom.vn/pc-asus-all-in-one-a5402wvak-ba016w-i5-1340p-8gb-ram-512gb-ssd-23.8-fhd-wl-bt-k-m-win-11-den,"™ i5-1340P Processor 1.9GHz(12M Cache, up to 4.6 GHz, 12 cores)"
,0.0,0.0,Bộ nhớ Ram 8Gb DDR4 (1 x 8Gb + 1 khe rời),1,36.0,,0,0.0,Ổ cứng 256Gb SSD,1,36.0,"Card đồ họa tích hợp 
Radeon™ Graphics",1,36.0,,0,0.0,,0,0.0,5799000,https://hacom.vn/pc-hacom-business-r3430-8s2-v2-r3-4300g-a320-8gb-ram-250gb,
"Bộ vi xử lý
 
Intel® Core™ i5-13500 (2.5Ghz up to 4.8Ghz/24MB cache)",1.0,36.0,"Bộ nhớ trong
 
8GB DDR5 4400Mhz (1*8GB)",1,36.0,,0,0.0,"Ổ cứng
 
256GB PCIe NVMe SSD (M.2 2230 slot for WiFi and Bluetooth combo card; 3 M.2 2230/2280 slots for solid-state drive
4 SATA slots for 2.5-inch/3.5-inch hard drive and slim optical drive)",1,36.0,"Ổ cứng
 
256GB PCIe NVMe SSD (M.2 2230 slot for WiFi and Bluetooth combo card; 3 M.2 2230/2280 slots for solid-state drive
4 SATA slots for 2.5-inch/3.5-inch hard drive and slim optical drive)",1,36.0,,0,0.0,,0,0.0,15499000,https://hacom.vn/pc-dell-optiplex-7010-tower-plus-i5-13500-8gb-ram-ddr5-256gb-ssd-k-m-ubuntu-den-01mtde7010.13500.04,™ i5-13500 (2.5Ghz up to 4.8Ghz/24MB cache)
Dòng CPU Core i5,1.0,12.0,Chipset Intel H670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng nhỏ,1,12.0,,0,0.0,14499000,https://hacom.vn/pc-hp-280-pro-g9-sff-9h1s5pt-i5-13500-8gb-ram-512gb-ssd-wl-bt-k-m-win-11, i5
"Bộ vi xử lý
 
Apple M2 Pro 10-core CPU with 6 performance cores and 4 efficiency cores; 16-core GPU",1.0,12.0,,0,0.0,,0,0.0,"Ổ cứng
 
512GB SSD",1,12.0,"Bộ vi xử lý
 
Apple M2 Pro 10-core CPU with 6 performance cores and 4 efficiency cores; 16-core GPU",1,12.0,,0,0.0,,0,0.0,31599000,https://hacom.vn/apple-mac-mini-mnh73sa-a-apple-m2-pro-10c-cpu-16c-gpu-16g-ram-512gb-ssd-mac-os-bac,"Bộ vi xử lý
 
Apple M2 Pro 10-core CPU with 6 performance cores and 4 efficiency cores; 16-core GPU"
CPU Intel Core i5-13400,1.0,36.0,Mainboard ASUS TUF GAMING B760M-E DDR4,1,36.0,Mainboard ASUS TUF GAMING B760M-E DDR4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Asus DUAL RTX 4060-O8G,1,36.0,Vỏ Case MIK AETHER BLACK (MATX/Mid Tower/Màu Đen),1,25.0,Tản Nhiệt CPU ID-COOLING SE-224-XT ARGB V3,1,24.0,23599000,https://hacom.vn/hacom-sniper-s6-i5-13400-rtx-4060, i5-13400
"CPU
 
1GHz processor or faster",1.0,,"RAM
 
1GB RAM for 32-bit; 2GB for 64-bit",1,,,0,0.0,,0,0.0,"Card xử lý đồ họa
 
800 x 600 screen resolution or higher. DirectX 9 graphics processor with WDDM driver",1,,,0,0.0,,0,0.0,6269000,https://hacom.vn/he-dieu-hanh-microsoft-windows-10-pro-for-workstations-64bit-eng-intl-1pk-dsp-oei-dvd-hzv-00055,"CPU
 
1GHz processor or faster"
,0.0,0.0,,0,0.0,,0,0.0,,0,0.0,"- NVIDIA ® Quadro RTX ™ 4000, với kiến trúc NVIDIA Turing ™ và nền tảng NVIDIA RTX, cung cấp hiệu suất tốt nhất.",1,36.0,,0,0.0,,0,0.0,23459000,https://hacom.vn/vga-card-nvidia-quadro-rtx-4000-8gb-gddr6,
CPU: Intel Core i7-12700,1.0,36.0,Ram: 8GB,1,36.0,,0,0.0,Ổ cứng: 1TB HDD,1,36.0,,0,0.0,,0,0.0,,0,0.0,29499000,https://hacom.vn/workstation-dell-precision-3660-tower-cto-base-i7-12700-8gb-ram-1tb-hdd-t400-dvdrw-k-m-ubuntu-42pt3660d02, i7-12700
Dòng CPU Core i7,1.0,12.0,Chipset Intel Q670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng to,1,12.0,,0,0.0,17199000,https://hacom.vn/pc-hp-prodesk-400-g9-mt-i7-12700-8gb-ram-256gssd-wl-bt-k-m-win-11-72l01pa, i7
"Bộ vi xử lý
 
Intel® Core™ i5-13500 (2.5Ghz up to 4.8Ghz/24MB cache)",1.0,12.0,"Bộ nhớ trong
 
8GB DDR4 3200Mhz",1,12.0,,0,0.0,"Ổ cứng
 
512GB PCIe NVMe SSD (1 x  M.2 2230 slot for WiFi & Bluetooth Card ; 1 x M.2 2230/2280 slot for SSD;2 x  SATA 3.0 slot for 3.5”/2.5”)",1,12.0,"Ổ cứng
 
512GB PCIe NVMe SSD (1 x  M.2 2230 slot for WiFi & Bluetooth Card ; 1 x M.2 2230/2280 slot for SSD;2 x  SATA 3.0 slot for 3.5”/2.5”)",1,12.0,,0,0.0,,0,0.0,14799000,https://hacom.vn/pc-dell-optiplex-7010-sff-i5-13500-8gb-ram-512gb-ssd-k-m-ubuntu-den-7010sff8g5121y,™ i5-13500 (2.5Ghz up to 4.8Ghz/24MB cache)
CPU Intel Core i5-13400F,1.0,36.0,Ram Desktop Kingston Fury Beast (KF432C16BB1/16/KF432C16BB/16) 16GB (1x16GB) DDR4 3200Mhz,1,36.0,Mainboard ASUS PRIME B760M-A D4,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình NVIDIA RTX A2000 6GB GDDR6,1,36.0,Vỏ case Jonsbo C6 Black ( Mini Tower/Màu Đen),1,12.0,Fan Case Vitra Clio Led RGB,1,12.0,22499000,https://hacom.vn/pc-hacom-cad-c119-case-mini-tower-i5-13400f-b760-16gb-ram-500gb-ssd-rtx-a2000-6gb-550w, i5-13400F
Dòng CPU Core i3,1.0,12.0,Chipset Intel H670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 730,1,12.0,Kiểu dáng Case đứng to,1,12.0,,0,0.0,9199000,https://hacom.vn/pc-hp-pavilion-tp01-4018d-8x3r4pa-i3-13100-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-bac, i3
Bộ VXL : Intel Core i5 12400,1.0,36.0,Bộ nhớ Ram : 16GB DRR4,1,36.0,Bo mạch chủ : H610,1,36.0,Ổ cứng : 500GB SSD,1,36.0,,0,0.0,,0,0.0,,0,0.0,9199000,https://hacom.vn/pc-hacom-business-mini-vs3-i5-12400-h610-16gb-ram-500gb, i5 12400
Bộ VXL Apple M1 chip8-core CPU / 8-core GPU,1.0,12.0,,0,0.0,,0,0.0,Ổ cứng 256GB SSD,1,12.0,Bộ VXL Apple M1 chip8-core CPU / 8-core GPU,1,12.0,,0,0.0,,0,0.0,34999000,https://hacom.vn/pc-apple-imac-m1-8-core-cpu-8-core-gpu-mgpc3sa-a,Bộ VXL Apple M1 chip8-core CPU / 8-core GPU
"Bộ vi xử lý
 
Intel® Core™ i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB",1.0,12.0,"Bộ nhớ trong
 
1x 8GB UDIMM DDR4-3200, Two DDR4 UDIMM slots, dual-channel capable, Up to 64GB DDR4-3200",1,12.0,,0,0.0,"Chuẩn ổ cứng
 
512GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0
Up to two drives, 1x 3.5"" HDD + 1x M.2 SSD • 3.5"" HDD up to 2TB • M.2 SSD up to 1TB",1,12.0,"iGPU
 
Intel® UHD Graphics 730",1,12.0,,0,0.0,,0,0.0,12999000,https://hacom.vn/pc-lenovo-thinkcentre-neo-50t-gen-4-i5-13400-8gb-ram-512gb-ssd-wl-bt-k-m-no-os-12jb001hva,"™ i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB"
Bộ vi xử lý Core i7-12700,1.0,12.0,Bộ nhớ trong 8GB DDR4 3200MHz,1,12.0,,0,0.0,Ổ cứng 512 GB PCIe® NVMe™ M.2 SSD,1,12.0,,0,0.0,,0,0.0,,0,0.0,16399000,https://hacom.vn/pc-hp-s01-pf2024d-i7-12700-8gb-ram-512gb-ssd-wl-bt-k-m-win-11-6k7b3pa, i7-12700
Processor Type Intel® Core™ i3-1315U Processor,1.0,36.0,Memory Technology ‎DDR4,1,36.0,,0,0.0,"M.2 Card Slot (storage) 1 x M.2 2280 PCIe Gen4x4, supports 128GB~8TB NVMe™  SSD1 x 2.5"" SATA 6Gb/s, supports 4TB 7~15mm HDD1 x M.2 2242 SATA supports 256GB~1TB SSD",1,36.0,"M.2 Card Slot (storage) 1 x M.2 2280 PCIe Gen4x4, supports 128GB~8TB NVMe™  SSD1 x 2.5"" SATA 6Gb/s, supports 4TB 7~15mm HDD1 x M.2 2242 SATA supports 256GB~1TB SSD",1,36.0,,0,0.0,,0,0.0,9199000,https://hacom.vn/bo-mini-pc-asus-intel-nuc13-pro-tall-nuc13anhi3-i3-1315u-2xddr4-3200-3xnvme-sata-2x-hdmi-2.1-2x-dp-1.4a-vesa-mount-90ab3anh-mr4100,™ i3-1315U Processor
CPU Core i9-12900K,1.0,36.0,RAM 32GB DDR5-5200 (16GB x 2),1,36.0,,0,0.0,Ổ cứng SSD 2TB M.2 NVMe 4.0,1,36.0,Card màn hình NVIDIA GeForce RTX 3080 10GB,1,36.0,,0,0.0,Tản nhiệt Tản nhiệt nước 360mm,1,36.0,66999000,https://hacom.vn/pc-gigabyte-aorus-model-x, i9-12900K
Dòng CPU Core i3,1.0,24.0,Chipset   ['BỘ NHỚ RAM'],1,24.0,,0,0.0,Khe cắm RAM 2 ['Ổ CỨNG'],1,24.0,Card đồ họa VGA onboard,1,24.0,,0,0.0,,0,0.0,14990000,https://hacom.vn/pc-asus-all-in-one-a3402wb-i3-1215u-8gb-512g-pcie-23.8-fhd-cam-mic-wifi6-bt5-wl_kb-wl_m-w11h-trang-a3402wbak-wa549w, i3
CPU: Intel Core i5 1235U,1.0,24.0,Ram: 8GB,1,24.0,,0,0.0,Ổ cứng: 512GB SSD,1,24.0,,0,0.0,,0,0.0,,0,0.0,16699000,https://hacom.vn/pc-asus-all-in-one-a3202wbak-wa019w-i5-1235u-8gb-ram-512gb-ssd-21.5-inch-full-hd-wl-bt-k-m-win-11-trang, i5 1235U
CPU: Intel Core i5-12400,1.0,24.0,RAM: 8GB,1,24.0,,0,0.0,Ổ Cứng: 256GB SSD,1,24.0,,0,0.0,,0,0.0,,0,0.0,12499000,https://hacom.vn/pc-asus-s500sd-512400050w-i5-12400-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-90pf0392-m00sv0, i5-12400
"Bộ VXL Intel® Core™ i5-13500T (up to 4.6 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads)",1.0,12.0,"Bộ nhớ RAM 
8 GB DDR4-3200 MHz RAM (1 x 8 GB)",1,12.0,,0,0.0,"Ổ cứng 
256 GB PCIe® NVMe™ SSD",1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,,0,0.0,,0,0.0,13299000,https://hacom.vn/pc-hp-pro-mini-400-g9-9h1u6pt-i5-13500t-8gb-ram-256gb-ssd-wl-bt-k-m-win11,"™ i5-13500T (up to 4.6 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads)"
,0.0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,16899000,https://hacom.vn/man-hinh-asus-pro-art-pa328cgv,
CPU: AMD Ryzen R3-5300U,1.0,,RAM: 8GB DDR4,1,,,0,0.0,SSD: 512GB,1,,,0,0.0,,0,0.0,,0,0.0,10099000,https://hacom.vn/pc-asus-all-in-one-m3400wu-r3-5300u-8gb-ram-512gb-ssd-23.8-inch-full-hd-touch-wl-bt-k-m-win-10-m3400wuat-ba027t,CPU: AMD Ryzen R3-5300U
Dòng CPU Core i5,1.0,12.0,Chipset Intel Q670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 770,1,12.0,Kiểu dáng Case đứng to,1,12.0,,0,0.0,11999000,https://hacom.vn/pc-hp-prodesk-400-g9-mt-i5-12500-4gb-ram-256gssd-wl-bt-k-m-win-11-72k98pa, i5
"Bộ vi xử lý
 
Intel Core i5 13400 – thế hệ 13 mới nhất",1.0,12.0,"Bộ nhớ trong
 
8GB DDR4 3200Mhz (1*8GB)",1,12.0,,0,0.0,"Ổ cứng
 
512GB PCIe NVMe SSD",1,12.0,,0,0.0,,0,0.0,,0,0.0,14199000,https://hacom.vn/pc-dell-inspiron-3020-i5-13400-8gb-ram-512gb-ssd-wl-bt-k-m-win11-mti51012w1-8g-512g, i5 13400 – thế hệ 13 mới nhất
"Bộ vi xử lý
 
Intel® Core™ i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB",1.0,12.0,"Bộ nhớ trong
 
1x 8GB UDIMM DDR4-3200, Two DDR4 UDIMM slots, dual-channel capable, Up to 64GB DDR4-3200",1,12.0,,0,0.0,"Chuẩn ổ cứng
 
256GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0
Up to two drives, 1x 3.5"" HDD + 1x M.2 SSD • 3.5"" HDD up to 2TB • M.2 SSD up to 1TB",1,12.0,"iGPU
 
Intel® UHD Graphics 730",1,12.0,,0,0.0,,0,0.0,11999000,https://hacom.vn/pc-lenovo-thinkcentre-neo-50t-gen-4-i5-13400-8gb-ram-256gb-ssd-wl-bt-k-m-no-os-12jb001gva,"™ i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB"
Dòng CPU Core i5,1.0,12.0,Chipset Intel H670 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 730,1,12.0,Kiểu dáng Case đứng to,1,12.0,,0,0.0,13299000,https://hacom.vn/pc-hp-pavilion-tp01-4010d-8c5t2pa-i5-13400-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-trang, i5
Bộ xử lý Intel ® Core™ i5/i7/i9 thế hệ thứ 12/13 và bộ nhớ DDR5-4800 ECC cho hiệu năng chuyên nghiệp và độ ổn định,1.0,36.0,Bộ xử lý Intel ® Core™ i5/i7/i9 thế hệ thứ 12/13 và bộ nhớ DDR5-4800 ECC cho hiệu năng chuyên nghiệp và độ ổn định,1,36.0,,0,0.0,,0,0.0,Sẵn sàng kết xuất 2D/3D với sự hỗ trợ cho một NVIDIA ® Quadro RTX™,1,36.0,,0,0.0,,0,0.0,25599000,https://hacom.vn/may-tram-asus-e500g9-12700026z-i7-12700-16gb-ram-1tb-hdd-w680-300w-dvd-rw-kb-m-90sf02f1-m00580,™ i5/i7/i9 thế hệ thứ 12/13 và bộ nhớ DDR5-4800 ECC cho hiệu năng chuyên nghiệp và độ ổn định
"Bộ vi xử lý
 
Intel Core i3 13100 – thế hệ 13 mới nhất",1.0,12.0,"Bộ nhớ trong
 
8GB DDR4 3200Mhz (1*8GB)",1,12.0,,0,0.0,"Ổ cứng
 
256GB PCIe NVMe SSD",1,12.0,"Cổng giao tiếp
 
Front: 2 USB 3.2 Gen 1 Type-A ports; 2 USB 2.0 ports, 1 Global Headset Jack
Rear: 2 USB 3.2 Gen 1 Type-A ports, 2 USB 2.0 ports, 1 RJ-45
1 Line out, 1 HDMI 1.4b port, 1 Display Port1 SATA 2.0 port, 1 SATA 3.0 port, 1 PCIe x16 slot, 1 PCIe x1 slot (half-height); 1 M.2 2230 slot for WiFi and Bluetooth combo card
1 M.2 2230/2280 slot for PCIe SSD",1,12.0,,0,0.0,,0,0.0,12399000,https://hacom.vn/pc-dell-inspiron-3020-i3-13100-8gb-ram-256gb-ssd-wl-bt-k-m-office-win11-4vgwp-small-form, i3 13100 – thế hệ 13 mới nhất
